url_path,views_total,views_unique
/SERVIR-WA/GALUP,239,54
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,216,29
/SERVIR-WA/GALUP/issues,116,18
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,115,30
/SERVIR-WA/GALUP/discussions,97,13
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,88,20
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,87,16
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m3_exercise1.md,68,11
/SERVIR-WA/GALUP/tree/master/training/1_lu,56,12
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m3_exercise2.md,49,5
