time_iso8601,stars_cumulative
2021-05-27 00:00:00+00:00,1
2021-05-28 00:00:00+00:00,2
2021-06-01 00:00:00+00:00,3
2021-06-07 00:00:00+00:00,4
2021-06-11 00:00:00+00:00,5
2021-06-12 00:00:00+00:00,8
2021-06-14 00:00:00+00:00,9
2021-06-15 00:00:00+00:00,11
2021-06-16 00:00:00+00:00,13
2021-07-14 00:00:00+00:00,15
2021-07-26 00:00:00+00:00,16
2021-08-04 00:00:00+00:00,17
2021-08-24 00:00:00+00:00,18
2021-10-11 00:00:00+00:00,20
2021-11-02 00:00:00+00:00,21
2021-11-10 00:00:00+00:00,22
2021-11-11 00:00:00+00:00,23
2021-11-22 00:00:00+00:00,24
2021-11-30 00:00:00+00:00,25
2022-02-07 00:00:00+00:00,26
2022-04-11 00:00:00+00:00,27
2022-04-15 00:00:00+00:00,28
