dist,,region,reg_prop,2020_pop,pop_pct,2025_pop,2030_pop,2035_pop,2040_pop,2045_pop,2050_pop,2055_pop,2060_pop,2065_pop,2070_pop,2075_pop,2080_pop,2085_pop,2090_pop,2095_pop,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Ablekuma Central,"'Ablekuma Central',",GREATER ACCRA,Greater Accra,294022,0.95,336680,368344,400520,433123,465405,496097,525160,551947,577125,600198,621680,640661,657400,671055,682575,691762,11992,12010,24.5,
Ablekuma North,"'Ablekuma North',",GREATER ACCRA,Greater Accra,232877,0.75,265800,291743,316200,343050,367425,392928,414600,437163,455625,475380,490800,507429,519000,531502,538875,547902,12579,12579,18.5,
Ablekuma West,"'Ablekuma West',",GREATER ACCRA,Greater Accra,75254,0.24,85056,94277,101184,110856,117576,126974,132672,141269,145800,153619,157056,163975,166080,171755,172440,177054,19052,19207,3.9,
Abuakwa North,"'Abuakwa North',",EASTERN,Eastern,112856,0.36,127584,141384,151776,166248,176364,190419,199008,211857,218700,230377,235584,245908,249120,257575,258660,265523,17593,176863,6.4,
Abuakwa South,"'Abuakwa South',",EASTERN,Eastern,98756,0.32,113408,123719,134912,145477,156768,166629,176896,185388,194400,201594,209408,215185,221440,225394,229920,232349,17384,388803,5.7,
Abura Asebu Kwamankese,"'Abura Asebu Kwamankese',",CENTRAL,Central,138623,0.45,159480,173664,189720,204205,220455,233895,248760,260227,273375,282976,294480,302053,311400,316384,323325,326146,21747,418812,,
Achiase,"'Achiase',",GREATER ACCRA,Greater Accra,92276,0.3,106320,115601,126480,135931,146970,155695,165840,173223,182250,188366,196320,201065,207600,210604,215550,217103,6920,460789,13.3,
Ada East,"'Ada East',",EASTERN,Eastern,90336,0.29,102776,113171,122264,133074,142071,152422,160312,169581,176175,184406,189776,196838,200680,206177,208365,212538,14202,322883,6.4,
Ada West,"'Ada West',",GREATER ACCRA,Greater Accra,74544,0.24,85056,93387,101184,109811,117576,125776,132672,139936,145800,152169,157056,162428,166080,170134,172440,175384,11809,360615,6.3,
Adaklu,"'Adaklu',",GREATER ACCRA,Greater Accra,45962,0.15,53160,57580,63240,67706,73485,77551,82920,86281,91125,93824,98160,100149,103800,104900,107775,108137,6398,892272,7.2,
Adansi Asokwa,"'Adansi Asokwa',",VOLTA,Volta,83243,0.27,95688,104285,113832,122625,132273,140454,149256,156266,164025,169927,176688,181383,186840,189988,193995,195850,11109,712713,7.5,
Adansi North,"'Adansi North',",ASHANTI,Ashanti,49522,0.16,56704,62040,67456,72951,78384,83557,88448,92964,97200,101091,104704,107906,110720,113026,114960,116513,10097,236071,4.9,
Adansi South,"'Adansi South',",ASHANTI,Ashanti,50268,0.16,56704,62975,67456,74050,78384,84816,88448,94365,97200,102614,104704,109532,110720,114728,114960,118268,10606,832318,4.7,
Adentan,"'Adentan',",ASHANTI,Ashanti,98682,0.32,113408,123627,134912,145368,156768,166504,176896,185249,194400,201443,209408,215024,221440,225225,229920,232175,64038,86774,1.5,
Afadzato South,"'Afadzato South',",GREATER ACCRA,Greater Accra,120004,0.39,138216,150338,164424,176777,191061,202480,215592,225275,236925,244969,255216,261483,269880,273889,280215,282340,10884,616071,,
Afigya Kwabre North,"'Afigya Kwabre North',",VOLTA,Volta,51560,0.17,60248,64593,71672,75953,83283,86996,93976,96790,103275,105251,111248,112347,117640,117677,122145,121308,8890,265882,,
Afigya Kwabre South,"'Afigya Kwabre South',",ASHANTI,Ashanti,117179,0.38,134672,146799,160208,172616,186162,197713,210064,219972,230850,239202,248672,255328,262960,267441,273030,275693,38200,189025,3.1,
Agona East,"'Agona East',",ASHANTI,Ashanti,101674,0.33,116952,127375,139128,149776,161667,171552,182424,190865,200475,207551,215952,221543,228360,232054,237105,239214,13290,364153,7.7,
Agona West,"'Agona West',",CENTRAL,Central,136443,0.44,155936,170933,185504,200994,215556,230217,243232,256135,267300,278526,287936,297303,304480,311408,316140,321017,15522,396178,8.8,
Agortime-Ziope,"'Agortime-Ziope',",CENTRAL,Central,35360,0.11,38984,44298,46376,52089,53889,59662,60808,66379,66825,72182,71984,77048,76120,80703,79035,83193,7020,351725,,
Ahafo Ano North,"'Ahafo Ano North',",VOLTA,Volta,116936,0.38,134672,146495,160208,172258,186162,197303,210064,219516,230850,238706,248672,254798,262960,266887,273030,275122,11488,659202,10.2,
Ahafo Ano South East,"'Ahafo Ano South East',",ASHANTI,Ashanti,73121,0.24,85056,91604,101184,107714,117576,123375,132672,137265,145800,149265,157056,159327,166080,166886,172440,172036,7144,464471,10.2,
Ahafo Ano South West,"'Ahafo Ano South West',",ASHANTI,Ashanti,77760,0.25,88600,97416,105400,114548,122475,131203,138200,145973,151875,158734,163600,169436,173000,177474,179625,182950,10151,858151,,
Ahanta West,"'Ahanta West',",ASHANTI,Ashanti,141344,0.46,163024,177073,193936,208213,225354,238486,254288,265335,279450,288531,301024,307982,318320,322594,330510,332548,23207,608603,6.1,
Ajumako Enyan Essiam,"'Ajumako Enyan Essiam',",WESTERN,Western,163250,0.53,187832,204516,223448,240483,259647,275448,292984,306458,321975,333248,346832,355714,366760,372590,380805,384087,17876,579619,9.1,
Akatsi North,"'Akatsi North',",CENTRAL,Central,37517,0.12,42528,47000,50592,55266,58788,63302,66336,70428,72900,76585,78528,81748,83040,85626,86220,88268,4318,350163,,
Akatsi South,"'Akatsi South',",VOLTA,Volta,124357,0.4,141760,155792,168640,183190,195960,209825,221120,233447,243000,253855,261760,270968,276800,283824,287400,292582,21075,597388,,
Akrofuom,"'Akrofuom',",VOLTA,Volta,92804,0.3,106320,116263,126480,136709,146970,156586,165840,174214,182250,189444,196320,202216,207600,211809,215550,218345,6257,643865,14.8,
Akwapim North,"'Akwapim North',",ASHANTI,Ashanti,95484,0.31,109864,119620,130696,140657,151869,161108,171368,179245,188325,194915,202864,208055,214520,217926,222735,224650,13929,341196,,
Akwapim South,"'Akwapim South',",EASTERN,Eastern,47265,0.15,53160,59213,63240,69626,73485,79749,82920,88727,91125,96484,98160,102988,103800,107874,107775,111203,6660,249469,,
Akyemansa,"'Akyemansa',",EASTERN,Eastern,122734,0.4,141760,153758,168640,180799,195960,207086,221120,230400,243000,250541,261760,267432,276800,280120,287400,288763,14578,680295,8.4,
Amansie Central,"'Amansie Central',",EASTERN,Eastern,112508,0.36,127584,140948,151776,165735,176364,189832,199008,211203,218700,229667,235584,245150,249120,256780,258660,264704,13968,943941,8.1,
Amansie South,"'Amansie South',",ASHANTI,Ashanti,74666,0.24,85056,93540,101184,109990,117576,125982,132672,140165,145800,152418,157056,162694,166080,170412,172440,175671,19204,828330,3.9,
Amansie West,"'Amansie West',",ASHANTI,Ashanti,91905,0.3,106320,115137,126480,135385,146970,155069,165840,172527,182250,187609,196320,200257,207600,209758,215550,216230,18352,539064,5,
Anloga,"'Anloga',",ASHANTI,Ashanti,104262,0.34,120496,130617,143344,153588,166566,175919,187952,195724,206550,212834,222496,227182,235280,237960,244290,245303,22686,439519,4.6,
Aowin,"'Aowin',",WESTERN,Western,157159,0.51,180744,196885,215016,231510,249849,265171,281928,295023,309825,320814,333744,342442,352920,358689,366435,369757,16303,2896692,9.6,
